title,company,location,link
[문정동]블록체인 프론트 개발자,헤세그,서울 문정동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=918478b10f4e253e&vjs=3
"[국비지원 전액무료 80명]AI(인공지능),BC(블록체인) 교육생",고려대학교 세종캠퍼스,세종특별자치시 세종,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2cea89628083fd37&vjs=3
블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=77d8e0149dad533b&vjs=3
핵심 관리자,엔티스,전라북도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5e75ce65b5a2e678&vjs=3
[TmaxCommerce/기술] Commerce 제품기획 팀장,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e89e2c137a1766dc&vjs=3
LECLE 디자이너,레클,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c749c8d122e21d3e&vjs=3
[EY한영] 감사본부 FAAS팀 블록체인 및 가상화폐/데이터 가치평가 분야 경력직 모집,EY,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3b7ff43f07484aaf&vjs=3
(재)전주정보문화산업진흥원 직원채용,전주정보문화산업진흥원,전라북도 전주,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1f4e2a1730708582&vjs=3
모바일 플래폼 개발자,아이씨엔캐스트,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c6bfdbcbd1005041&vjs=3
3년차 이상 백엔드 개발자 정규직,캐스팅보트솔루션,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1d0d98927f0e1179&vjs=3
